"treatment","scenario","GEN","GT","NAT","CHO","CAB","NONE"
"nonhyp",1,28.4,1.5,4.5,19.4,20.9,25.4
"nonhyp",2,10.4,1.5,1.5,65.7,1.5,19.4
"nonhyp",3,0,0,29.9,0,32.8,37.3
"nonhyp",4,0,1.5,0,7.5,74.6,16.4
"nonhyp",5,0,3,3,1.5,76.1,16.4
"nonhyp",6,10.4,1.5,1.5,1.5,68.7,16.4
"nonhyp",7,16.4,9,16.4,25.4,0,32.8
"nonhyp",8,0,61.2,6,0,3,29.9
"nonhyp",9,11.9,3,25.4,16.4,1.5,41.8
"nonhyp",10,0,0,1.5,73.1,7.5,17.9
"nonhyp",11,0,1.5,0,79.1,1.5,17.9
"nonhyp",12,11.9,38.8,0,1.5,17.9,29.9
"nonhyp",13,40.3,0,1.5,10.4,14.9,32.8
"nonhyp",14,10.4,13.4,6,13.4,44.8,11.9
"nonhyp",15,34.3,31.3,0,0,3,31.3
"nonhyp",16,0,50.7,3,16.4,0,29.9
"nonhyp",17,0,7.5,6,19.4,52.2,14.9
"hyp",1,48.6,0,10.8,13.5,24.3,2.7
"hyp",2,10.8,0,2.7,86.5,0,0
"hyp",3,0,2.7,48.6,0,37.8,10.8
"hyp",4,2.7,0,0,5.4,83.8,8.1
"hyp",5,0,13.5,10.8,0,67.6,8.1
"hyp",6,21.6,0,0,0,75.7,2.7
"hyp",7,24.3,13.5,40.5,21.6,0,0
"hyp",8,0,64.9,16.2,2.7,2.7,13.5
"hyp",9,16.2,5.4,51.4,13.5,0,13.5
"hyp",10,2.7,0,0,89.2,0,8.1
"hyp",11,0,0,0,91.9,0,8.1
"hyp",12,13.5,59.5,2.7,0,16.2,8.1
"hyp",13,56.8,0,0,5.4,21.6,16.2
"hyp",14,32.4,10.8,13.5,21.6,21.6,0
"hyp",15,48.6,32.4,0,0,5.4,13.5
"hyp",16,0,59.5,0,27,0,13.5
"hyp",17,0,18.9,13.5,32.4,32.4,2.7
