"Parameter","NH_Est","NH_SE","HY_Est","HY_SE","JT_Est","JT_SE"
"β GEN (ASC)",2.8329,0.1442,5.6871,0.1245,4.1902,0
"β GT (ASC)",3.4054,0,5.8381,0.2129,4.79,0
"β NAT (ASC)",3.3112,0,6.9589,0,5.1367,0
"β CHO (ASC)",2.8377,0.0143,4.8206,0.0372,3.9721,0
"β CAB (ASC)",2.1223,0,3.5628,0.0465,2.9722,0.009
"α GEN (price)",-0.6699,0.0473,-1.1479,0.0022,-0.9011,0
"α GT (price)",-0.4241,0,-0.6418,0.0371,-0.5761,0
"α NAT (price)",-0.4994,0,-0.9184,0,-0.7266,0
"α CHO (price)",-0.2727,0.0023,-0.3884,0.0032,-0.3629,0
"α CAB (price)",-0.1731,0,-0.2119,0.0052,-0.2248,0
"σ GEN (scale)",1.7589,0.1165,0.9309,0,1.3182,0
"σ GT (scale)",4.0009,0,2.5415,0.1948,3.1729,0.0709
"σ NAT (scale)",2.5798,0.0962,1.8185,0.0552,2.1816,0.0439
"σ CHO (scale)",160.9314,88.7059,140.8183,90.5479,163.1633,68.7494
"σ CAB (scale)",4.9296,0,6.7284,0.2972,4.6817,0.0617
